Frequency (Hz),Realised Gain (dB),Antenna Factor (dB),S11 (dB)
359809523.8,5.765077239,15.57637585,-10.71638095
360571428.6,5.737513768,15.62231244,-10.09500364
361333333.3,5.576638125,15.80152242,-9.515777144
362095238.1,5.283816541,16.11263973,-8.977981988
362857142.9,4.880964677,16.53374886,-8.497277883
363619047.6,4.415007262,17.01792524,-8.055060707
364380952.4,3.901555115,17.54955822,-7.665766935
365142857.1,3.337142591,18.1321136,-7.35370132
365904761.9,2.703532538,18.78382869,-7.185443229
366666666.7,2.204718263,19.30071035,-7.301640887
367428571.4,2.054620016,19.46883847,-7.807645449
368190476.2,2.341404054,19.20004696,-8.742578243
368952381,2.799643892,18.75976245,-10.14956488
369714285.7,3.210782267,18.36654237,-12.11941067
370476190.5,3.487191249,18.1080148,-14.27128076
371238095.2,3.748685112,17.8643656,-16.4229391
372000000,4.032910567,17.59794823,-18.38339112
372761904.8,4.288676978,17.35995347,-19.31683167
373523809.5,4.451979464,17.21438634,-19.56640811
374285714.3,4.525471963,17.15859306,-19.27950451
375047619,4.561603216,17.14012504,-18.61176102
375809523.8,4.61727006,17.10208558,-17.87223717
376571428.6,4.725135842,17.01181148,-17.19970611
377333333.3,4.896633023,16.85787042,-16.60323228
378095238.1,5.121565491,16.65045866,-16.08646412
378857142.9,5.39816375,16.39134584,-15.64409886
379619047.6,5.689624055,16.11733585,-15.29759147
380380952.4,5.964253752,15.86012148,-15.04224482
381142857.1,6.156298604,15.6854571,-14.89145337
381904761.9,6.256304299,15.60279717,-14.89456235
382666666.7,6.257196898,15.61921577,-15.0152927
383428571.4,6.177211648,15.71647778,-15.25182021
384190476.2,6.030191068,15.88074083,-15.5935041
384952381,5.83148912,16.09665108,-16.01967085
385714285.7,5.624748415,16.32056607,-16.57328968
386476190.5,5.390239299,16.57221557,-17.25574643
387238095.2,5.135234848,16.84432666,-18.00613869
388000000,4.885272416,17.1113621,-18.74713882
388761904.8,4.769882831,17.2437912,-19.59836828
389523809.5,4.846903233,17.18377695,-20.57098054
390285714.3,5.048401948,16.99925115,-21.59225248
391047619,5.238474045,16.82611887,-22.60803173
391809523.8,5.328324885,16.75317488,-23.70427896
392571428.6,5.337879332,16.76049444,-24.70946528
393333333.3,5.319181397,16.79603365,-25.53714404
394095238.1,5.324197238,16.80782651,-26.15948577
394857142.9,5.361284555,16.78751542,-26.66885366
395619047.6,5.418682216,16.74686165,-26.90607118
396380952.4,5.480137991,16.70211754,-26.76460426
397142857.1,5.551846027,16.64708909,-26.2447098
397904761.9,5.645004198,16.57057853,-25.45377819
398666666.7,5.771554622,16.46064388,-24.46935082
399428571.4,5.93172585,16.31705669,-23.42799197
400190476.2,6.100899977,16.164435,-22.3467672
400952381,6.227938667,16.05391727,-21.21428617
401714285.7,6.281521766,16.01682376,-20.27261223
402476190.5,6.251971573,16.0628323,-19.35219877
403238095.2,6.168198773,16.16303232,-18.46935085
404000000,6.043150579,16.30447672,-17.65787435
404761904.8,5.911969565,16.45202305,-16.90242115
405523809.5,5.781716046,16.59861111,-16.24115517
406285714.3,5.66950962,16.72712142,-15.64155573
407047619,5.539074702,16.87382967,-15.0776732
407809523.8,5.378410482,17.0507368,-14.57819009
408571428.6,5.177857197,17.26750267,-14.13682488
409333333.3,4.994044855,17.46749739,-13.74856496
410095238.1,4.870992294,17.60670223,-13.40625674
410857142.9,4.820572221,17.67324461,-13.08201633
411619047.6,4.784581813,17.72532746,-12.7686162
412380952.4,4.721289658,17.80468229,-12.47279811
413142857.1,4.637483135,17.90452184,-12.19979661
413904761.9,4.606169232,17.95183923,-11.96031856
414666666.7,4.665112697,17.90886982,-11.73845019
415428571.4,4.792846085,17.79708116,-11.53270364
416190476.2,4.909610919,17.69623184,-11.32279574
416952381,4.957766387,17.66396278,-11.0686561
